City,x
Abbeville,59.00
Acadia,105.00
Accomack,85.00
Ada,229.00
Adair,143.00
Adams,890.00
Addison,34.00
Aiken,492.00
Aitkin,14.00
Alachua,85725.00
Alamance,324.00
Alameda,26969.00
Alamosa,24.00
Albany,455.00
Albemarle,99.00
Alcona,16.00
Alcorn,27.00
Aleutians West,8.00
Alexander,93.00
Alexandria,242.00
Alfalfa,3.00
Alger,13.00
Allamakee,1.00
Allegan,62.00
Allegany,99.00
Alleghany,33.00
Allegheny,6630.00
Allen,1867.00
Allendale,57.00
Alpena,20.00
Alpine,6.00
Amador,31.00
Amelia,19.00
Amherst,56.00
Amite,4.00
Anchorage,1195.00
Anderson,981.00
Andrew,14.00
Andrews,24.00
Androscoggin,90.00
Angelina,233.00
Anne Arundel,916.00
Anoka,117.00
Anson,142.00
Antelope,2.00
Antrim,6.00
Apache,27.00
Appanoose,9.00
Appling,24.00
Appomattox,25.00
Aransas,46.00
Arapahoe,1601.00
Archer,14.00
Archuleta,11.00
Arenac,9.00
Arkansas,58.00
Arlington,225.00
Armstrong,38.00
Aroostook,54.00
Ascension,194.00
Ashe,37.00
Ashland,37.00
Ashley,102.00
Ashtabula,74.00
Asotin,17.00
Assumption,48.00
Atascosa,111.00
Atchison,18.00
Athens,24.00
Atkinson,16.00
Atlantic,882.00
Atoka,31.00
Attala,48.00
Audrain,28.00
Auglaize,7.00
Augusta,98.00
Austin,43.00
Autauga,68.00
Avery,23.00
Avoyelles,42.00
Baca,2.00
Bacon,28.00
Bailey,17.00
Baker,7885.00
Baldwin,300.00
Ballard,5.00
Baltimore,2688.00
Baltimore city,115042.00
Bamberg,66.00
Bandera,26.00
Banks,12.00
Bannock,57.00
Baraga,3.00
Barber,1.00
Barbour,76.00
Barnes,7.00
Barnstable,108.00
Barnwell,74.00
Barren,41.00
Barron,23.00
Barrow,63.00
Barry,63.00
Bartholomew,43.00
Barton,40.00
Bartow,76.00
Bastrop,119.00
Bates,25.00
Bath,23.00
Baxter,38.00
Bay,79558.00
Bayfield,12.00
Baylor,10.00
Beadle,3.00
Bear Lake,4.00
Beaufort,382.00
Beauregard,46.00
Beaver,197.00
Beaverhead,5.00
Becker,17.00
Beckham,45.00
Bedford,169.00
Bee,44.00
Belknap,35.00
Bell,839.00
Belmont,35.00
Beltrami,32.00
Ben Hill,48.00
Benewah,12.00
Bennett,3.00
Bennington,25.00
Benson,2.00
Bent,7.00
Benton,372.00
Benzie,16.00
Bergen,433.00
Berkeley,519.00
Berks,755.00
Berkshire,46.00
Bernalillo,5278.00
Berrien,375.00
Bertie,79.00
Bethel,25.00
Bexar,38834.00
Bibb,1375.00
Bienville,40.00
