zipcode,centile,superzip,rank,city,state,latitude,longitude,incident
38157,99.99999,1,,Memphis,TN,35.20,-89.97,21.00
60043,99.99955,1,1,Kenilworth,IL,42.09,-87.71,3.00
19732,99.99911,1,,Rockland,DE,39.79,-75.57,170.00
77010,99.99908,1,,Houston,TX,29.83,-95.43,620.00
10597,99.99901,1,,Waccabuc,NY,41.30,-73.60,3.00
60022,99.99741,1,2,Glencoe,IL,42.10,-87.82,2.00
7078,99.99359,1,3,Short Hills,NJ,40.74,-74.33,30.00
19736,99.99129,1,,Yorklyn,DE,39.80,-75.66,1074.00
94027,99.98998,1,4,Atherton,CA,37.45,-122.20,24.00
10514,99.98656,1,5,Chappaqua,NY,41.08,-73.78,116.00
46290,99.98444,1,,Indianapolis,IN,39.94,-86.20,80.00
33109,99.98431,1,,Miami Beach,FL,25.56,-80.46,89.00
10503,99.98418,1,,Ardsley on Hudson,NY,41.03,-73.87,11.00
19035,99.98334,1,6,Gladwyne,PA,40.04,-75.28,16.00
94028,99.98116,1,7,Portola Valley,CA,37.37,-122.22,87.00
92067,99.97844,1,8,Rancho Santa Fe,CA,33.01,-117.22,1457.00
13475,99.97707,1,,Van Hornesville,NY,42.89,-74.84,175.00
33945,99.97706,1,,Pineland,FL,26.66,-82.14,12.00
2493,99.97501,1,9,Weston,MA,42.38,-71.23,7.00
10577,99.97255,1,10,Purchase,NY,41.00,-73.75,7498.00
30327,99.96794,1,11,Atlanta,GA,33.86,-84.42,16.00
19085,99.9627,1,12,Villanova,PA,40.03,-75.37,18.00
2108,99.96086,1,13,Boston,MA,42.35,-71.10,268.00
7021,99.95969,1,14,Essex Fells,NJ,40.83,-74.28,21205.00
11568,99.95869,1,15,Old Westbury,NY,40.75,-73.60,52.00
6840,99.95459,1,16,New Canaan,CT,41.16,-73.50,130.00
10518,99.95078,1,17,Cross River,NY,41.27,-73.61,49.00
90402,99.94816,1,18,Santa Monica,CA,33.79,-118.30,1491.00
6820,99.94232,1,19,Darien,CT,41.08,-73.48,45.00
33921,99.93846,1,20,Boca Grande,FL,26.75,-82.26,27.00
98243,99.93803,1,,Deer Harbor,WA,48.56,-122.98,124.00
90077,99.93584,1,21,Los Angeles,CA,33.79,-118.30,869135.00
10162,99.93327,1,22,New York,NY,40.77,-73.95,2560664.00
10069,99.93251,1,23,New York,NY,40.78,-73.99,2560664.00
60093,99.92861,1,24,Winnetka,IL,42.11,-87.94,2.00
2468,99.92398,1,25,Waban,MA,42.33,-71.23,191637.00
60045,99.91901,1,26,Lake Forest,IL,42.24,-87.88,74538.00
10576,99.91423,1,27,Pound Ridge,NY,41.21,-73.57,983.00
6883,99.91158,1,28,Weston,CT,41.22,-73.38,7.00
94022,99.90607,1,29,Los Altos,CA,37.24,-121.89,8.00
2030,99.90133,1,30,Dover,MA,42.24,-71.28,2400.00
10506,99.89934,1,31,Bedford,NY,41.12,-73.72,169.00
60029,99.89828,1,,Golf,IL,42.06,-87.79,2.00
95618,99.89806,1,32,Davis,CA,38.54,-121.69,117.00
22066,99.89487,1,33,Great Falls,VA,39.00,-77.31,265.00
78730,99.89091,1,34,Austin,TX,30.36,-97.84,43.00
90272,99.88544,1,35,Pacific Palisades,CA,33.79,-118.30,21.00
7931,99.88034,1,36,Far Hills,NJ,40.70,-74.65,76.00
7046,99.87912,1,37,Mountain Lakes,NJ,40.89,-74.44,1.00
10028,99.86842,1,38,New York,NY,40.78,-73.95,2560664.00
1741,99.85757,1,39,Carlisle,MA,42.45,-71.46,1.00
6897,99.85355,1,40,Wilton,CT,41.21,-73.44,456.00
77005,99.84606,1,41,Houston,TX,29.83,-95.43,620.00
10022,99.83436,1,42,New York,NY,40.76,-73.97,2560664.00
75225,99.82313,1,43,Dallas,TX,32.85,-96.77,126839.00
92657,99.81815,1,44,Newport Coast,CA,33.60,-117.84,51.00
28207,99.81531,1,45,Charlotte,NC,35.20,-80.83,23638.00
10021,99.78984,1,46,New York,NY,40.77,-73.96,2560664.00
94301,99.76263,1,47,Palo Alto,CA,37.19,-121.71,1.00
10510,99.75737,1,48,Briarcliff Manor,NY,41.06,-73.83,18.00
20816,99.75265,1,49,Bethesda,MD,38.96,-77.12,25.00
20854,99.74097,1,50,Potomac,MD,39.03,-77.23,16.00
10538,99.7291,1,51,Larchmont,NY,41.09,-73.76,95.00
63124,99.72389,1,52,Saint Louis,MO,38.64,-90.38,17.00
75205,99.71784,1,53,Dallas,TX,32.83,-96.78,126839.00
98039,99.7132,1,54,Medina,WA,47.63,-122.23,104.00
10583,99.70547,1,55,Scarsdale,NY,40.99,-73.80,22.00
6853,99.69759,1,56,Norwalk,CT,41.07,-73.44,11.00
6880,99.69196,1,57,Westport,CT,41.14,-73.34,7.00
7970,99.687,1,,Mount Freedom,NJ,40.81,-74.57,1.00
95070,99.68106,1,58,Saratoga,CA,37.19,-121.71,64.00
2481,99.67262,1,59,Wellesley Hills,MA,42.31,-71.27,316.00
20812,99.67003,1,,Glen Echo,MD,38.97,-77.14,2.00
20818,99.66962,1,60,Cabin John,MD,39.13,-77.18,227.00
95030,99.66657,1,61,Los Gatos,CA,37.11,-121.84,869135.00
22101,99.65833,1,62,McLean,VA,38.94,-77.19,56.00
94024,99.64854,1,63,Los Altos,CA,37.19,-121.71,8.00
20007,99.63944,1,64,Washington,DC,38.91,-77.08,11211.00
19710,99.63454,1,,Montchanin,DE,39.76,-75.64,64.00
10280,99.63304,1,65,New York,NY,40.71,-74.02,2560664.00
11576,99.62926,1,66,Roslyn,NY,40.66,-73.62,5.00
20016,99.62091,1,67,Washington,DC,38.94,-77.09,11211.00
7043,99.61266,1,68,Montclair,NJ,40.80,-74.19,64.00
20815,99.60468,1,69,Chevy Chase,MD,38.98,-77.08,559.00
6870,99.59756,1,70,Old Greenwich,CT,41.03,-73.57,52.00
2199,99.59599,1,71,Boston,MA,42.35,-71.08,268.00
44040,99.59519,1,72,Gates Mills,OH,41.51,-81.41,19.00
8550,99.59162,1,73,Princeton Junction,NJ,40.27,-74.65,354.00
1773,99.5876,1,74,Lincoln,MA,42.45,-71.46,850.00
94507,99.58385,1,75,Alamo,CA,37.94,-122.07,26969.00
1770,99.58034,1,76,Sherborn,MA,42.45,-71.46,28.00
10024,99.5659,1,77,New York,NY,40.81,-73.97,2560664.00
22124,99.54959,1,78,Oakton,VA,38.89,-77.33,54.00
94920,99.54424,1,79,Belvedere Tiburon,CA,37.94,-122.56,32.00
60614,99.52798,1,80,Chicago,IL,41.81,-87.69,12.00
94506,99.51097,1,81,Danville,CA,37.83,-121.92,252.00
8558,99.50655,1,82,Skillman,NJ,40.43,-74.71,21.00
7423,99.50485,1,83,Ho Ho Kus,NJ,41.00,-74.10,3.00
10804,99.50142,1,84,New Rochelle,NY,40.95,-73.79,26.00
20817,99.49184,1,85,Bethesda,MD,38.99,-77.15,25.00
94563,99.48149,1,86,Orinda,CA,37.89,-122.14,20.00
11030,99.47478,1,87,Manhasset,NY,40.75,-73.60,146101.00
20008,99.46548,1,88,Washington,DC,38.94,-77.06,11211.00
60601,99.4581,1,89,Chicago,IL,41.81,-87.69,12.00
94123,99.45113,1,90,San Francisco,CA,37.80,-122.44,14455.00
22039,99.44225,1,91,Fairfax Station,VA,38.76,-77.31,921.00
10546,99.43877,1,92,Millwood,NY,41.20,-73.80,9.00
10004,99.43828,1,93,New York,NY,40.70,-74.03,2560664.00
90049,99.43073,1,94,Los Angeles,CA,33.79,-118.30,869135.00
7945,99.42176,1,95,Mendham,NJ,40.79,-74.59,7.00
85253,99.41657,1,96,Paradise Valley,AZ,33.36,-111.96,96.00
28378,99.41306,1,,Rex,NC,34.85,-79.06,4.00
90210,99.40857,1,97,Beverly Hills,CA,33.79,-118.30,25.00
22182,99.3998,1,98,Vienna,VA,38.94,-77.27,275.00
63005,99.39265,1,99,Chesterfield,MO,38.64,-90.65,559.00
10007,99.38902,1,100,New York,NY,40.71,-74.01,2560664.00
27706,99.38821,1,,Durham,NC,36.00,-78.94,1795.00
10504,99.38691,1,101,Armonk,NY,41.08,-73.76,225.00
20015,99.38238,1,102,Washington,DC,38.97,-77.07,11211.00
60523,99.37699,1,103,Oak Brook,IL,41.84,-87.96,54.00
77046,99.37475,1,,Houston,TX,29.83,-95.43,620.00
6878,99.37325,1,104,Riverside,CT,41.04,-73.58,7500.00
94708,99.36956,1,105,Berkeley,CA,37.89,-122.26,519.00
66221,99.36631,1,106,Overland Park,KS,38.86,-94.71,60.00
10005,99.36517,1,107,New York,NY,40.71,-74.01,2560664.00
78746,99.36043,1,108,Austin,TX,30.30,-97.82,43.00
10580,99.35277,1,109,Rye,NY,40.96,-73.74,27.00
1776,99.3467,1,110,Sudbury,MA,42.45,-71.46,18.00
48302,99.34042,1,111,Bloomfield Hills,MI,42.58,-83.28,13.00
30305,99.33241,1,112,Atlanta,GA,33.83,-84.39,16.00
2482,99.3258,1,113,Wellesley,MA,42.29,-71.30,316.00
11724,99.32334,1,114,Cold Spring Harbor,NY,40.86,-73.44,78.00
77094,99.32156,1,115,Houston,TX,29.83,-95.43,620.00
7842,99.32031,1,,Hibernia,NJ,40.87,-74.58,1.00
94707,99.31781,1,116,Berkeley,CA,37.89,-122.28,519.00
2110,99.31499,1,117,Boston,MA,42.35,-71.05,268.00
20896,99.31451,1,,Garrett Park,MD,39.04,-77.09,29.00
19009,99.3144,1,,Bryn Athyn,PA,40.14,-75.06,95.00
91108,99.31192,1,118,San Marino,CA,33.79,-118.30,267.00
19807,99.30789,1,119,Wilmington,DE,39.79,-75.62,262.00
10023,99.29218,1,120,New York,NY,40.78,-73.98,2560664.00
20036,99.27712,1,121,Washington,DC,38.90,-77.04,11211.00
1451,99.2753,1,122,Harvard,MA,42.50,-71.58,3.00
7920,99.26969,1,123,Basking Ridge,NJ,40.68,-74.57,76.00
60611,99.25861,1,124,Chicago,IL,41.81,-87.69,12.00
2459,99.24898,1,125,Newton Center,MA,42.33,-71.18,345.00
19066,99.24465,1,126,Merion Station,PA,40.00,-75.25,1812.00
60091,99.2386,1,127,Wilmette,IL,42.08,-87.73,262.00
66211,99.23294,1,128,Leawood,KS,38.92,-94.64,62.00
48301,99.22941,1,129,Bloomfield Hills,MI,42.54,-83.28,13.00
77024,99.22011,1,130,Houston,TX,29.82,-95.42,620.00
60606,99.21332,1,131,Chicago,IL,41.81,-87.69,12.00
63131,99.20985,1,132,Saint Louis,MO,38.62,-90.45,17.00
90274,99.20181,1,133,Palos Verdes Peninsula,CA,33.79,-118.30,69.00
19041,99.19572,1,134,Haverford,PA,40.00,-75.32,35.00
6903,99.1918,1,135,Stamford,CT,41.14,-73.57,96.00
19421,99.18901,1,,Birchrunville,PA,39.98,-75.75,35.00
6831,99.18604,1,136,Greenwich,CT,41.08,-73.65,1738.00
22181,99.18039,1,137,Vienna,VA,38.91,-77.30,275.00
35223,99.17561,1,138,Birmingham,AL,33.50,-86.73,35.00
6490,99.17271,1,139,Southport,CT,41.14,-73.29,57.00
94705,99.16934,1,140,Berkeley,CA,37.86,-122.24,519.00
11797,99.16505,1,141,Woodbury,NY,40.75,-73.60,108.00
7458,99.16124,1,142,Saddle River,NJ,41.04,-74.10,10070.00
20004,99.15899,1,143,Washington,DC,38.89,-77.02,11211.00
92625,99.15588,1,144,Corona del Mar,CA,33.60,-117.87,24.00
11020,99.15217,1,145,Great Neck,NY,40.75,-73.60,265.00
20194,99.14893,1,146,Reston,VA,38.98,-77.34,4.00
22957,99.14643,1,,Montpelier Station,VA,38.23,-78.18,6.00
35649,99.14642,1,,Mooresville,AL,34.63,-86.87,203.00
6877,99.14211,1,147,Ridgefield,CT,41.31,-73.49,15474.00
7928,99.13438,1,148,Chatham,NJ,40.76,-74.50,2578.00
10526,99.13068,1,149,Goldens Bridge,NY,41.30,-73.65,2.00
10017,99.12652,1,150,New York,NY,40.75,-73.97,2560664.00
60305,99.12067,1,151,River Forest,IL,41.81,-87.69,28.00
10128,99.10585,1,152,New York,NY,40.78,-73.95,2560664.00
6612,99.09166,1,153,Easton,CT,41.27,-73.30,25.00
10527,99.09011,1,154,Granite Springs,NY,41.32,-73.76,3.00
37350,99.08952,1,155,Lookout Mountain,TN,35.13,-85.30,80.00
94305,99.08792,1,156,Stanford,CA,37.19,-121.71,96.00
7417,99.08479,1,157,Franklin Lakes,NJ,41.01,-74.21,20084.00
76092,99.07948,1,158,Southlake,TX,32.95,-97.15,57.00
